City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,78.39,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
9,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
10,Salalah,OM,74.61,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
12,Kumo,NG,85.73,overcast clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
15,Rikitea,PF,78.94,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Zhuhai,CN,72.86,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
24,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
26,Bowen,AU,80.24,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
28,Les Cayes,HT,84.22,clear sky,18.2,-73.75,Villa Orphee
29,Atuona,PF,78.49,clear sky,-9.8,-139.0333,Villa Enata
43,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
44,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
45,Bengkulu,ID,76.68,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
48,Viedma,AR,73.56,broken clouds,-40.8135,-62.9967,Hotel Cristal
50,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
51,Ancud,CL,72.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
57,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
58,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Aitape,PG,78.08,overcast clouds,-3.1374,142.3475,
60,Faanui,PF,81.81,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
63,Dakar,SN,83.28,dust,14.6937,-17.4441,Novotel Dakar
71,Baculin,PH,78.15,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
73,Lorengau,PG,81.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
75,East London,ZA,78.93,overcast clouds,-33.0153,27.9116,Tu Casa
77,Keti Bandar,PK,77.67,clear sky,24.1447,67.4497,Haji laloo memon house
78,Am Timan,TD,89.28,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
80,Hithadhoo,MV,82.13,clear sky,-0.6,73.0833,Scoop Guest House
81,Mbini,GQ,78.64,moderate rain,1.574,9.6134,
