City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ketchikan,US,55.3422,-131.6461,41.47,87,40,6.91,scattered clouds
1,Saint-Philippe,RE,-21.3585,55.7679,78.39,89,79,13.27,moderate rain
2,Gumdag,TM,39.2061,54.5906,49.01,55,100,16.28,overcast clouds
3,Torbay,CA,47.6666,-52.7314,35.28,90,100,25.32,mist
4,Winnemucca,US,40.973,-117.7357,55.45,28,0,6.91,clear sky
5,Cockburn Town,TC,21.4612,-71.1419,82.36,54,40,19.57,scattered clouds
6,Punta Arenas,CL,-53.15,-70.9167,51.91,59,75,20.71,broken clouds
7,Kadnikov,RU,59.5022,40.338,28.87,94,100,3.91,overcast clouds
8,Salmo,CA,49.1999,-117.2689,41.07,86,100,3.58,overcast clouds
9,Avarua,CK,-21.2078,-159.775,82.45,78,100,5.75,overcast clouds
10,Salalah,OM,17.0151,54.0924,74.61,55,34,1.63,scattered clouds
11,Itoman,JP,26.1247,127.6694,66.22,77,94,4.61,overcast clouds
12,Kumo,NG,10.0447,11.2122,85.73,16,100,7.76,overcast clouds
13,Hobart,AU,-42.8794,147.3294,53.46,92,6,10.36,clear sky
14,Camrose,CA,53.0168,-112.8353,38.93,50,29,17.63,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,78.94,73,88,12.77,overcast clouds
16,Zhuhai,CN,22.2769,113.5678,72.86,83,40,2.3,scattered clouds
17,Upernavik,GL,72.7868,-56.1549,-8.93,92,100,12.88,overcast clouds
18,La Ronge,CA,55.1001,-105.2842,14.25,57,40,8.05,scattered clouds
19,Luwingu,ZM,-10.2621,29.9271,63.66,96,100,2.28,moderate rain
20,Vestmanna,FO,62.1564,-7.1664,40.12,93,100,3.44,overcast clouds
21,Jalu,LY,29.0331,21.5482,58.21,42,2,4.23,clear sky
22,Yulara,AU,-25.2406,130.9889,69.64,26,100,6.91,overcast clouds
23,Busselton,AU,-33.65,115.3333,66.63,84,59,5.73,broken clouds
24,Alofi,NU,-19.0595,-169.9187,78.69,89,100,3.44,overcast clouds
25,Iqaluit,CA,63.7506,-68.5145,-16.31,68,20,0.0,few clouds
26,Bowen,AU,-20.0167,148.2333,80.24,75,93,21.81,overcast clouds
27,Dikson,RU,73.5069,80.5464,-10.08,93,100,20.4,overcast clouds
28,Les Cayes,HT,18.2,-73.75,84.22,57,0,11.5,clear sky
29,Atuona,PF,-9.8,-139.0333,78.49,73,8,13.94,clear sky
30,Mehamn,NO,71.0357,27.8492,29.21,87,91,5.23,overcast clouds
31,Esperance,AU,-33.8667,121.9,66.97,72,4,6.73,clear sky
32,Hermanus,ZA,-34.4187,19.2345,66.79,86,37,17.25,scattered clouds
33,Taksimo,RU,56.3444,114.8794,-1.3,96,100,1.25,overcast clouds
34,Castro,BR,-24.7911,-50.0119,65.77,97,100,6.87,overcast clouds
35,Murcia,ES,38.0,-1.5,58.73,56,100,3.27,overcast clouds
36,Yelovo,RU,57.0538,54.9207,2.32,97,100,1.99,overcast clouds
37,Albany,US,42.6001,-73.9662,28.38,90,100,7.0,snow
38,New Norfolk,AU,-42.7826,147.0587,53.1,74,8,3.33,clear sky
39,Chokurdakh,RU,70.6333,147.9167,-29.33,100,93,3.71,overcast clouds
40,Bluff,NZ,-46.6,168.3333,50.81,89,20,8.16,few clouds
41,Savalou,BJ,7.9281,1.9756,92.05,36,40,6.11,scattered clouds
42,Saldanha,ZA,-33.0117,17.9442,68.05,89,0,7.05,clear sky
43,Bitung,ID,1.4451,125.1824,76.05,87,100,5.28,overcast clouds
44,Souillac,MU,-20.5167,57.5167,79.18,94,40,11.5,scattered clouds
45,Bengkulu,ID,-3.8004,102.2655,76.68,91,100,4.63,overcast clouds
46,Attock,PK,33.7695,72.3611,63.79,49,0,3.67,clear sky
47,Xichang,CN,27.8964,102.2634,55.4,58,61,2.93,broken clouds
48,Viedma,AR,-40.8135,-62.9967,73.56,49,68,17.69,broken clouds
49,Christchurch,NZ,-43.5333,172.6333,59.95,72,100,3.44,overcast clouds
50,Carnarvon,AU,-24.8667,113.6333,75.27,83,0,11.5,clear sky
51,Ancud,CL,-41.8697,-73.8203,72.23,66,8,8.63,clear sky
52,Bethel,US,41.3712,-73.414,31.03,85,100,10.36,overcast clouds
53,Krasnoselkup,RU,65.7,82.4667,-13.47,100,65,9.62,broken clouds
54,Lagoa,PT,39.05,-27.9833,56.88,60,100,12.03,overcast clouds
55,Ushuaia,AR,-54.8,-68.3,51.46,62,100,3.44,overcast clouds
56,Bida,NG,9.0833,6.0167,92.77,31,100,2.33,light rain
57,San Cristobal,VE,7.7669,-72.225,77.18,58,85,1.63,overcast clouds
58,Kapaa,US,22.0752,-159.319,78.78,71,20,11.5,few clouds
59,Aitape,PG,-3.1374,142.3475,78.08,88,100,3.8,overcast clouds
60,Faanui,PF,-16.4833,-151.75,81.81,71,40,12.37,scattered clouds
61,Azanka,RU,58.0401,64.7893,-9.85,100,35,3.47,scattered clouds
62,Mount Gambier,AU,-37.8333,140.7667,53.2,73,0,3.98,clear sky
63,Dakar,SN,14.6937,-17.4441,83.28,60,5,16.11,dust
64,Mataura,NZ,-46.1927,168.8643,50.49,97,25,2.35,scattered clouds
65,Barrow,US,71.2906,-156.7887,-21.98,76,0,5.75,clear sky
66,Port Hardy,CA,50.6996,-127.4199,44.6,81,100,23.02,overcast clouds
67,Paamiut,GL,61.994,-49.6678,11.64,90,100,26.51,light snow
68,Sukpak,RU,51.6667,94.6333,5.81,94,100,2.62,overcast clouds
69,Ponta Do Sol,PT,32.6667,-17.1,66.7,76,98,11.43,overcast clouds
70,Talaya,RU,61.3833,152.75,-9.47,100,99,1.74,overcast clouds
71,Baculin,PH,7.4525,126.5842,78.15,88,98,3.74,overcast clouds
72,College,US,64.8569,-147.8028,12.58,49,20,16.11,few clouds
73,Lorengau,PG,-2.0226,147.2712,81.81,75,100,5.73,overcast clouds
