City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,31.73,88,100,2.37,US,2022-03-11 03:10:18
1,Puerto Ayora,-0.7393,-90.3518,77.56,93,97,3.11,EC,2022-03-11 03:14:31
2,Provideniya,64.3833,-173.3,21.36,68,0,34.0,RU,2022-03-11 03:14:31
3,Moron,-34.6534,-58.6198,65.98,74,0,2.04,AR,2022-03-11 03:14:31
4,Bambous Virieux,-20.3428,57.7575,78.22,82,14,10.18,MU,2022-03-11 03:14:32
5,Zhaoyang,42.682,126.0305,41.65,25,0,13.65,CN,2022-03-11 03:14:32
6,Santiago Del Estero,-27.7951,-64.2615,66.43,84,79,4.99,AR,2022-03-11 03:14:33
7,Port Elizabeth,-33.918,25.5701,67.6,92,4,5.37,ZA,2022-03-11 03:14:33
8,Sibolga,1.7427,98.7792,79.83,81,95,2.59,ID,2022-03-11 03:12:42
9,Mwinilunga,-11.7358,24.4293,63.14,98,100,2.91,ZM,2022-03-11 03:14:34
10,Diffa,13.3154,12.6113,73.0,31,19,12.53,NE,2022-03-11 03:14:35
11,Kodiak,57.79,-152.4072,42.31,75,20,8.05,US,2022-03-11 03:14:35
12,Upernavik,72.7868,-56.1549,-14.44,97,64,3.42,GL,2022-03-11 03:14:36
13,Tevaitoa,-16.7833,-151.5,81.43,70,12,9.91,PF,2022-03-11 03:14:36
14,Avarua,-21.2078,-159.775,82.45,78,40,5.75,CK,2022-03-11 03:14:37
15,Busselton,-33.65,115.3333,88.86,30,1,8.3,AU,2022-03-11 03:14:38
16,Port Augusta,-32.5,137.7667,82.04,18,95,6.53,AU,2022-03-11 03:14:38
17,Marsh Harbour,26.5412,-77.0636,75.4,87,5,10.49,BS,2022-03-11 03:14:39
18,Mataura,-46.1927,168.8643,72.48,42,100,9.13,NZ,2022-03-11 03:14:39
19,Inuvik,68.3499,-133.7218,-12.24,77,40,0.0,CA,2022-03-11 03:14:40
20,Vaini,-21.2,-175.2,82.56,74,75,3.44,TO,2022-03-11 03:14:40
21,Saint George,37.1041,-113.5841,42.64,26,0,31.07,US,2022-03-11 03:14:40
22,Nome,64.5011,-165.4064,24.87,59,0,29.93,US,2022-03-11 03:14:41
23,Jamestown,42.097,-79.2353,29.01,55,75,0.0,US,2022-03-11 03:14:41
24,Cherskiy,68.75,161.3,19.02,78,93,4.5,RU,2022-03-11 03:14:42
25,Nakusp,50.2499,-117.8023,20.97,96,97,2.46,CA,2022-03-11 03:14:42
26,Tasiilaq,65.6145,-37.6368,22.73,80,100,9.91,GL,2022-03-11 03:14:42
27,Rikitea,-23.1203,-134.9692,78.64,70,71,5.46,PF,2022-03-11 03:14:43
28,Noumea,-22.2763,166.4572,87.01,99,24,9.17,NC,2022-03-11 03:14:43
29,Nikolskoye,59.7035,30.7861,24.8,88,59,7.14,RU,2022-03-11 03:14:44
30,Cape Town,-33.9258,18.4232,68.11,82,0,3.36,ZA,2022-03-11 03:10:24
31,Gobabis,-22.45,18.9667,65.23,68,6,9.13,NA,2022-03-11 03:14:44
32,Smithers,54.7804,-127.1743,29.1,91,100,1.16,CA,2022-03-11 03:14:45
33,Yellowknife,62.456,-114.3525,-15.0,99,27,6.46,CA,2022-03-11 03:14:45
34,Bredasdorp,-34.5322,20.0403,65.64,95,11,9.08,ZA,2022-03-11 03:14:46
35,Codrington,-38.2667,141.9667,65.16,52,79,11.86,AU,2022-03-11 03:14:46
36,Guerrero Negro,27.9769,-114.0611,60.26,73,96,18.05,MX,2022-03-11 03:14:46
37,Georgetown,5.4112,100.3354,87.73,74,20,6.91,MY,2022-03-11 03:14:47
